"year","site","total_length","depth"
2012,"Banco Chinchorro",27,35
2013,"Maria Elena",7,26
2013,"Punta Herrero",10,20
2013,"Punta Herrero",27,20
2013,"Punta Herrero",7,20
2013,"Punta Herrero",7,20
2013,"Punta Herrero",7,20
2013,"Punta Herrero",7,20
2013,"Punta Herrero",7,20
2013,"Punta Herrero",7,20
2013,"Punta Herrero",7,20
2013,"Punta Herrero",7,20
2013,"Punta Herrero",11,18
2013,"Punta Herrero",9,9
2013,"Punta Herrero",27,9
2013,"Punta Herrero",27,9
2013,"Punta Herrero",27,9
2013,"Punta Herrero",27,9
2013,"Punta Herrero",27,9
2013,"Punta Herrero",27,9
2013,"Maria Elena",27,42
2013,"Banco Chinchorro",7,14
2013,"Banco Chinchorro",10,28
2013,"Punta Herrero",27,42
2013,"Punta Herrero",7,42
2013,"Punta Herrero",7,42
2014,"Maria Elena",10,21
2014,"Maria Elena",7,28
2014,"Punta Herrero",7,39
2014,"Banco Chinchorro",10,9
2014,"Banco Chinchorro",10,9
2014,"Banco Chinchorro",7,14
2014,"Banco Chinchorro",10,14
2014,"Banco Chinchorro",11,14
2014,"Banco Chinchorro",10,14
2015,"Maria Elena",10,42
2015,"Maria Elena",7,42
2015,"Maria Elena",7,42
2015,"Maria Elena",7,42
2015,"Maria Elena",10,42
2015,"Banco Chinchorro",7,9
2015,"Banco Chinchorro",27,14
2015,"Banco Chinchorro",10,14
2015,"Banco Chinchorro",10,14
2015,"Banco Chinchorro",10,14
2016,"Maria Elena",9,4
2016,"Maria Elena",27,4
2016,"Maria Elena",27,28
2016,"Punta Herrero",27,40
2016,"Punta Herrero",27,40
2016,"Punta Herrero",27,40
2016,"Punta Herrero",10,40
2016,"Banco Chinchorro",10,13
2016,"Punta Herrero",9,25
2016,"Punta Herrero",27,25
